Date, Numeric Delivery Month, Open, High, Low, Close, Volume
20131001,    54, 0.01110000, 0.01240000, 0.01100000, 0.01200000,    6528
20131002,    54, 0.01240000, 0.01300000, 0.01110000, 0.01300000,   19190
20131003,    54, 0.01300000, 0.01300000, 0.01130000, 0.01130000,   12864
20131004,    54, 0.01220000, 0.01220000, 0.01020000, 0.01190000,    3592
20131007,    54, 0.01050000, 0.01140000, 0.01000000, 0.01020000,    8714
20131008,    54, 0.01060000, 0.01070000, 0.00900000, 0.00900000,   29987
20131009,    54, 0.00820000, 0.00890000, 0.00700000, 0.00730000,   20528
20131010,    54, 0.00730000, 0.00850000, 0.00660000, 0.00850000,   12047
20131011,    54, 0.00750000, 0.00800000, 0.00710000, 0.00720000,   17896
20131014,    54, 0.00700000, 0.00750000, 0.00650000, 0.00700000,   12109
20131015,    54, 0.00770000, 0.00770000, 0.00660000, 0.00660000,    4240
20131016,    54, 0.00680000, 0.00790000, 0.00680000, 0.00680000,   11936
20131017,    54, 0.00690000, 0.00920000, 0.00690000, 0.00900000,   25434
20131018,    54, 0.00900000, 0.01200000, 0.00860000, 0.01100000,   19499
20131021,    54, 0.01090000, 0.01090000, 0.00970000, 0.01050000,    8346
20131022,    54, 0.01070000, 0.01070000, 0.00900000, 0.01050000,   14520
20131023,    54, 0.01000000, 0.01000000, 0.00850000, 0.01000000,   11180
20131024,    54, 0.00810000, 0.00900000, 0.00720000, 0.00900000,   14496
20131025,    54, 0.01240000, 0.01240000, 0.00710000, 0.00990000,    5473
20131028,    54, 0.00990000, 0.01090000, 0.00990000, 0.01070000,     604
20131029,    54, 0.01070000, 0.01070000, 0.00870000, 0.00950000,    2790
20131030,    54, 0.00870000, 0.00950000, 0.00800000, 0.00950000,    5097
20131031,    54, 0.00950000, 0.00950000, 0.00950000, 0.00950000,       0
20131101,    54, 0.00900000, 0.00900000, 0.00760000, 0.00880000,    7541
20131104,    54, 0.00760000, 0.00880000, 0.00760000, 0.00800000,    3883
20131105,    54, 0.00800000, 0.00890000, 0.00800000, 0.00890000,    5410
20131106,    54, 0.00890000, 0.00890000, 0.00750000, 0.00890000,    3519
20131107,    54, 0.00750000, 0.00750000, 0.00750000, 0.00750000,     460
20131108,    54, 0.00750000, 0.01030000, 0.00750000, 0.01030000,    4766
20131111,    54, 0.01050000, 0.01050000, 0.00810000, 0.01050000,    3212
20131112,    54, 0.01050000, 0.01050000, 0.00820000, 0.00850000,    4144
20131113,    54, 0.00840000, 0.01000000, 0.00840000, 0.00880000,    7865
20131114,    54, 0.00990000, 0.01000000, 0.00880000, 0.01000000,    1184
20131115,    54, 0.00960000, 0.01050000, 0.00950000, 0.01050000,   11393
20131118,    54, 0.00950000, 0.01100000, 0.00870000, 0.01100000,    7767
20131119,    54, 0.00910000, 0.01400000, 0.00910000, 0.01400000,    6341
20131120,    54, 0.01450000, 0.02700000, 0.01400000, 0.02400000,   79901
20131121,    54, 0.02500000, 0.02500000, 0.01600000, 0.01990000,   31665
20131122,    54, 0.02030000, 0.02600000, 0.01600000, 0.02500000,   20579
20131125,    54, 0.02500000, 0.03700000, 0.02000000, 0.03300000,   57836
20131126,    54, 0.03300000, 0.04300000, 0.03300000, 0.04000000,   70267
20131127,    54, 0.04000000, 0.04290000, 0.03400000, 0.04290000,   47477
20131129,    54, 0.04300000, 0.04390000, 0.03610000, 0.04360000,   46412
20131202,    54, 0.04300000, 0.04350000, 0.03760000, 0.03800000,   34903
20131203,    54, 0.03800000, 0.04030000, 0.03800000, 0.03990000,   18120
20131204,    54, 0.04000000, 0.04000000, 0.03090000, 0.03090000,   16155
20131205,    54, 0.03750000, 0.03750000, 0.02450000, 0.03100000,   44697
20131206,    54, 0.03000000, 0.03340000, 0.02750000, 0.03000000,   16811
20131209,    54, 0.03000000, 0.03850000, 0.02840000, 0.03500000,   17627
20131210,    54, 0.03500000, 0.03900000, 0.02400000, 0.02790000,   35964
20131211,    54, 0.02750000, 0.02900000, 0.02160000, 0.02560000,   24934
20131212,    54, 0.02700000, 0.02800000, 0.02400000, 0.02800000,   20543
20131213,    54, 0.02800000, 0.02800000, 0.02450000, 0.02490000,   10019
20131216,    54, 0.02450000, 0.02600000, 0.02030000, 0.02400000,   34566
20131217,    54, 0.02200000, 0.02300000, 0.01820000, 0.01940000,   29062
20131218,    54, 0.02390000, 0.02390000, 0.01900000, 0.02200000,   17326
20131219,    54, 0.02100000, 0.02100000, 0.01800000, 0.01950000,   17439
20131220,    54, 0.01910000, 0.02500000, 0.01880000, 0.02200000,   20686
20131223,    54, 0.02300000, 0.02300000, 0.01910000, 0.02090000,   13149
20131224,    54, 0.02090000, 0.02100000, 0.01930000, 0.02090000,    7318
20131226,    54, 0.01930000, 0.02090000, 0.01900000, 0.01990000,   17483
20131227,    54, 0.02000000, 0.02780000, 0.01950000, 0.02600000,   14136
20131230,    54, 0.02770000, 0.03000000, 0.02630000, 0.03000000,   36047
20131231,    54, 0.03000000, 0.03070000, 0.02550000, 0.02990000,   13178
20140102,    54, 0.02700000, 0.03000000, 0.02550000, 0.02800000,   10555
20140103,    54, 0.02610000, 0.02800000, 0.02220000, 0.02800000,   14548
