Date, Numeric Delivery Month, Open, High, Low, Close, Volume
20131001,    54, 0.75000000, 0.75000000, 0.65000000, 0.71000000,   76356
20131002,    54, 0.73000000, 0.73000000, 0.68000000, 0.70000000,   29092
20131003,    54, 0.70000000, 0.70000000, 0.66000000, 0.68000000,   32740
20131004,    54, 0.68000000, 0.72000000, 0.67000000, 0.71000000,   29692
20131007,    54, 0.72000000, 0.74000000, 0.69000000, 0.71000000,   25051
20131008,    54, 0.74000000, 0.77000000, 0.55000000, 0.62000000,  154239
20131009,    54, 0.60000000, 0.64000000, 0.57000000, 0.57000000,   28438
20131010,    54, 0.59000000, 0.68000000, 0.59000000, 0.67000000,   54599
20131011,    54, 0.69000000, 0.72000000, 0.67000000, 0.68000000,   36340
20131014,    54, 0.66000000, 0.66000000, 0.63000000, 0.64000000,   26793
20131015,    54, 0.63000000, 0.65000000, 0.60000000, 0.62000000,   15203
20131016,    54, 0.62000000, 0.62000000, 0.57000000, 0.58000000,   30306
20131017,    54, 0.60000000, 0.62000000, 0.59000000, 0.61000000,   15621
20131018,    54, 0.61000000, 0.64000000, 0.61000000, 0.63000000,    9823
20131021,    54, 0.64000000, 0.64000000, 0.61000000, 0.62000000,   13235
20131022,    54, 0.61000000, 0.63000000, 0.58000000, 0.58000000,   23796
20131023,    54, 0.60000000, 0.60000000, 0.56000000, 0.57000000,   15165
20131024,    54, 0.55000000, 0.59000000, 0.55000000, 0.56000000,   16564
20131025,    54, 0.57000000, 0.60000000, 0.56000000, 0.58000000,   13198
20131028,    54, 0.60000000, 0.61000000, 0.59000000, 0.60000000,   10533
20131029,    54, 0.61000000, 0.62000000, 0.60000000, 0.60000000,   10380
20131030,    54, 0.62000000, 0.63000000, 0.60000000, 0.61000000,    6345
20131031,    54, 0.62000000, 0.62000000, 0.58000000, 0.58000000,   11929
20131101,    54, 0.60000000, 0.60000000, 0.57000000, 0.58000000,    5314
20131104,    54, 0.57000000, 0.59000000, 0.57000000, 0.57000000,    8090
20131105,    54, 0.59000000, 0.59000000, 0.55000000, 0.55000000,   13614
20131106,    54, 0.55000000, 0.58000000, 0.45000000, 0.48000000,   34931
20131107,    54, 0.47000000, 0.55000000, 0.47000000, 0.52000000,   25561
20131108,    54, 0.50000000, 0.54000000, 0.50000000, 0.53000000,    6913
20131111,    54, 0.54000000, 0.56000000, 0.52000000, 0.53000000,    9806
20131112,    54, 0.55000000, 0.55000000, 0.52000000, 0.53000000,    9098
20131113,    54, 0.53000000, 0.59000000, 0.53000000, 0.55000000,   30735
20131114,    54, 0.61000000, 0.67000000, 0.58000000, 0.67000000,   71342
20131115,    54, 0.68000000, 0.73000000, 0.68000000, 0.68000000,   66504
20131118,    54, 0.70000000, 0.71000000, 0.66000000, 0.68000000,   26402
20131119,    54, 0.68000000, 0.69000000, 0.64000000, 0.66000000,   21206
20131120,    54, 0.67000000, 0.67000000, 0.64000000, 0.64000000,    7017
20131121,    54, 0.66000000, 0.66000000, 0.62000000, 0.64000000,   17670
20131122,    54, 0.66000000, 0.69000000, 0.64000000, 0.66000000,   11350
20131125,    54, 0.68000000, 0.68000000, 0.62000000, 0.63000000,   11531
20131126,    54, 0.65000000, 0.68000000, 0.63000000, 0.66000000,   19616
20131127,    54, 0.67000000, 0.71000000, 0.66000000, 0.71000000,   31167
20131129,    54, 0.71000000, 0.74000000, 0.71000000, 0.74000000,   30512
20131202,    54, 0.75000000, 0.83000000, 0.74000000, 0.82000000,   87940
20131203,    54, 0.84000000, 0.84000000, 0.76000000, 0.79000000,   46756
20131204,    54, 1.05000000, 1.28000000, 1.01000000, 1.27000000,  372817
20131205,    54, 1.45000000, 1.96000000, 1.43000000, 1.81000000,  699536
20131206,    54, 2.08000000, 2.24000000, 1.84000000, 2.06000000,  522136
20131209,    54, 1.93000000, 1.93000000, 1.61000000, 1.68000000,  252056
20131210,    54, 1.65000000, 1.88000000, 1.48000000, 1.87000000,  229996
20131211,    54, 1.81000000, 1.89000000, 1.72000000, 1.77000000,   73133
20131212,    54, 1.82000000, 1.99000000, 1.81000000, 1.98000000,  145467
20131213,    54, 2.05000000, 2.17000000, 2.02000000, 2.09000000,  158148
20131216,    54, 1.99000000, 2.06000000, 1.90000000, 1.95000000,   86754
20131217,    54, 1.89000000, 1.95000000, 1.74000000, 1.81000000,  101393
20131218,    54, 1.88000000, 1.89000000, 1.78000000, 1.82000000,   30454
20131219,    54, 1.84000000, 1.84000000, 1.74000000, 1.80000000,   36278
20131220,    54, 1.80000000, 1.87000000, 1.80000000, 1.84000000,   38829
20131223,    54, 1.86000000, 1.86000000, 1.76000000, 1.77000000,   29679
20131224,    54, 1.75000000, 1.80000000, 1.69000000, 1.75000000,   24132
20131226,    54, 1.75000000, 1.78000000, 1.70000000, 1.72000000,   23731
20131227,    54, 1.70000000, 1.73000000, 1.55000000, 1.66000000,   62954
20131230,    54, 1.67000000, 1.68000000, 1.60000000, 1.63000000,   22031
20131231,    54, 1.64000000, 1.65000000, 1.55000000, 1.55000000,   36912
20140102,    54, 2.06000000, 2.33000000, 1.89000000, 2.33000000,  530294
20140103,    54, 2.55000000, 2.84000000, 2.41000000, 2.61000000,  646763
20140106,    54, 2.64000000, 2.82000000, 2.43000000, 2.77000000,  260199
20140107,    54, 3.09000000, 4.14000000, 3.05000000, 3.85000000, 1221149
20140108,    54, 4.12000000, 4.90000000, 4.01000000, 4.55000000, 1109748
20140109,    54, 4.00000000, 4.00000000, 3.31000000, 3.32000000,  642598
20140110,    54, 3.46000000, 4.00000000, 3.41000000, 3.65000000,  512668
20140113,    54, 3.88000000, 3.98000000, 3.57000000, 3.63000000,  222659
20140114,    54, 3.73000000, 3.75000000, 3.33000000, 3.59000000,  186514
20140115,    54, 3.63000000, 3.89000000, 3.49000000, 3.80000000,  243931
20140116,    54, 3.90000000, 4.20000000, 3.46000000, 3.55000000,  546471
20140117,    54, 3.56000000, 3.63000000, 3.45000000, 3.48000000,  130885
20140121,    54, 3.63000000, 3.63000000, 3.41000000, 3.50000000,  137711
20140122,    54, 3.50000000, 3.53000000, 3.33000000, 3.34000000,  122057
20140123,    54, 3.19000000, 3.24000000, 2.98000000, 3.08000000,  168277
20140124,    54, 2.96000000, 2.99000000, 2.75000000, 2.81000000,  156197
20140127,    54, 2.94000000, 2.95000000, 2.22000000, 2.61000000,  248085
20140128,    54, 2.71000000, 2.73000000, 2.55000000, 2.69000000,   99582
20140129,    54, 2.61000000, 3.21000000, 2.56000000, 2.97000000,  296136
20140130,    54, 3.03000000, 3.25000000, 3.03000000, 3.12000000,  176469
20140131,    54, 3.16000000, 3.21000000, 2.95000000, 3.02000000,  105052
20140203,    54, 3.10000000, 3.16000000, 2.80000000, 2.84000000,  102401
20140204,    54, 2.88000000, 3.30000000, 2.80000000, 3.27000000,  244433
20140205,    54, 3.18000000, 3.23000000, 3.02000000, 3.07000000,  124436
20140206,    54, 3.17000000, 3.36000000, 3.11000000, 3.18000000,  150784
20140207,    54, 3.16000000, 3.24000000, 3.06000000, 3.10000000,   90462
20140210,    54, 3.63000000, 3.79000000, 3.43000000, 3.55000000,  479773
20140211,    54, 3.67000000, 3.68000000, 3.50000000, 3.51000000,  129904
20140212,    54, 3.55000000, 3.84000000, 3.51000000, 3.74000000,  228855
20140213,    54, 3.79000000, 3.94000000, 3.77000000, 3.94000000,  193205
20140214,    54, 3.94000000, 3.95000000, 3.73000000, 3.78000000,  136303
20140218,    54, 3.88000000, 3.92000000, 3.80000000, 3.87000000,   83705
20140219,    54, 3.82000000, 3.85000000, 3.56000000, 3.59000000,  124695
20140220,    54, 3.50000000, 3.72000000, 3.36000000, 3.70000000,  140270
20140221,    54, 3.69000000, 3.75000000, 3.58000000, 3.63000000,   61590
20140224,    54, 3.66000000, 3.75000000, 3.60000000, 3.69000000,   78275
20140225,    54, 3.67000000, 4.05000000, 3.67000000, 3.90000000,  331592
20140226,    54, 4.49000000, 4.64000000, 4.25000000, 4.41000000,  529060
20140227,    54, 4.38000000, 4.57000000, 4.25000000, 4.37000000,  218122
20140228,    54, 4.51000000, 4.84000000, 4.45000000, 4.67000000,  373536
20140303,    54, 4.60000000, 5.83000000, 4.50000000, 5.82000000,  844140
20140304,    54, 6.46000000, 7.09000000, 6.24000000, 6.69000000, 1214344
20140305,    54, 6.96000000, 7.01000000, 6.45000000, 6.75000000,  560426
20140306,    54, 6.45000000, 6.69000000, 6.02000000, 6.36000000,  478386
20140307,    54, 6.79000000, 8.35000000, 6.53000000, 8.27000000, 1257470
20140310,    54, 9.23000000,11.41000000, 8.57000000,10.31000000, 2117577
20140311,    54,11.44000000,11.72000000, 5.95000000, 6.03000000, 2432721
20140312,    54, 5.82000000, 7.40000000, 5.32000000, 6.80000000, 1409490
20140313,    54, 7.58000000, 8.48000000, 6.96000000, 8.00000000, 1313481
20140314,    54, 7.48000000, 7.99000000, 6.58000000, 6.71000000,  753798
20140317,    54, 7.18000000, 7.34000000, 6.27000000, 6.51000000,  580736
