Date, Numeric Delivery Month, Open, High, Low, Close, Volume
20131001,    54, 0.52000000, 0.52000000, 0.41600000, 0.46800000,     133
20131002,    54, 0.44200000, 0.46800000, 0.41600000, 0.46800000,     150
20131003,    54, 0.41600000, 0.44200000, 0.41600000, 0.41600000,      58
20131004,    54, 0.41600000, 0.49400000, 0.41600000, 0.49400000,      86
20131007,    54, 0.41600000, 0.49400000, 0.41600000, 0.41600000,      52
20131008,    54, 0.41600000, 0.44200000, 0.41600000, 0.44200000,      91
20131009,    54, 0.44200000, 0.44200000, 0.39000000, 0.39000000,      69
20131010,    54, 0.41600000, 0.44200000, 0.39000000, 0.44200000,     179
20131011,    54, 0.44200000, 0.44200000, 0.39000000, 0.39000000,     117
20131014,    54, 0.39000000, 0.46800000, 0.39000000, 0.39000000,      99
20131015,    54, 0.49400000, 0.49400000, 0.39000000, 0.41600000,      87
20131016,    54, 0.39000000, 0.41600000, 0.39000000, 0.39000000,      86
20131017,    54, 0.39000000, 0.46800000, 0.39000000, 0.44200000,     173
20131018,    54, 0.39000000, 0.44200000, 0.39000000, 0.44200000,     149
20131021,    54, 0.44200000, 0.46800000, 0.39000000, 0.39000000,     104
20131022,    54, 0.39000000, 0.39000000, 0.39000000, 0.39000000,     141
20131023,    54, 0.36400000, 0.39000000, 0.36400000, 0.36400000,     127
20131024,    54, 0.39000000, 0.39000000, 0.39000000, 0.39000000,     142
20131025,    54, 0.41600000, 0.41600000, 0.41600000, 0.41600000,      77
20131028,    54, 0.41600000, 0.46800000, 0.41600000, 0.41600000,      71
20131029,    54, 0.44200000, 0.46800000, 0.39000000, 0.44200000,      62
20131030,    54, 0.39000000, 0.44200000, 0.39000000, 0.44200000,       2
20131031,    54, 0.46800000, 0.46800000, 0.39000000, 0.41600000,     132
20131101,    54, 0.41600000, 0.41600000, 0.41600000, 0.41600000,      12
20131104,    54, 0.46800000, 0.46800000, 0.41600000, 0.41600000,      28
20131105,    54, 0.41600000, 0.41600000, 0.41600000, 0.41600000,      13
20131106,    54, 0.52000000, 0.65000000, 0.52000000, 0.59800000,     884
20131107,    54, 0.62400000, 0.62400000, 0.57200000, 0.59800000,     647
20131108,    54, 0.59800000, 0.59800000, 0.46800000, 0.54600000,    1253
20131111,    54, 0.54600000, 0.65000000, 0.49400000, 0.62400000,     271
20131112,    54, 0.62400000, 0.65000000, 0.52000000, 0.57200000,    1272
20131113,    54, 0.57200000, 0.78000000, 0.54600000, 0.67600000,    1318
20131114,    54, 0.78000000, 0.83200000, 0.70200000, 0.72800000,    3341
